"protein_id"	"protein_mw"	"protein_concentration"
"O75915"	21615	92793.6753617104
"O75935"	21119	85911.9619718056
"O75937"	29842	140990.262228463
"O75940"	26711	63935.2176337107
"O75947"	18491	193910.751451312
"O75964"	11428	131977.109559937
"O75976"	152931	80845.2941503362
"O76003"	37432	218166.242324671
"O76021"	54973	57725.7846817583
"O76031"	69224	101995.432107941
"O76041"	116453	36306.6564105444
"O76071"	37840	71935.533723075
"O76094"	74606	65043.0526845828
"O94760"	31122	106360.365825644
"O94763"	59832	29707.0136514468
"O94766"	37122	41156.9817601892
"O94776"	75023	79245.1003865
"O94788"	56724	81787.946903213
"O94822"	200552	31903.1445724175
"O94826"	67455	120640.185221195
"O94874"	89595	80226.6259131802
"O94888"	54862	60752.2715969542
"O94903"	30344	65446.2848577193
"O94905"	37840	98458.9947307813
"O94906"	106925	97872.9078326189
"O94925"	73461	81712.0962700168
"O94927"	71682	32172.6357389108
"O94966"	145651	25646.9306384271
"O94973"	103960	34496.7227836309
"O94979"	133015	68452.624941006
"O94992"	40623	46577.0573113803
"O95071"	309352	104798.229485671
"O95140"	86402	43560.3256067066
"O95155"	146185	40339.6760225709
"O95163"	150254	61173.0950312859
"O95167"	9279	78581.468740654
"O95168"	15209	67859.8973722324
"O95169"	21766	84528.6590495751
"O95182"	12551	29672.8687921329
"O95202"	83354	93751.9719376888
"O95218"	37404	99533.341211132
"O95219"	51909	27215.7167648663
"O95232"	51466	77017.0096821773
"O95239"	139881	42173.3651482048
"O95292"	27228	122256.537772369
"O95297"	29082	65784.3797906457
"O95298"	14188	56890.8836271031
"O95299"	40751	55032.9963114121
"O95302"	63084	48651.9648360615
"O95319"	54285	49816.6524747997
"O95336"	27547	154847.336544359
"O95340"	69501	46535.4957358582
"O95347"	135656	81074.3129171295
"O95352"	77960	33283.4378135964
"O95372"	24737	51394.8922310579
"O95373"	119517	133355.074085982
"O95376"	57819	21470.0132477753
"O95394"	59852	102287.513884749
"O95400"	37646	41508.6256820748
"O95433"	38274	146218.697733312
"O95453"	73451	46288.5686713521
"O95456"	32854	54237.1001451048
"O95486"	119749	51497.8377716722
"O95551"	40930	19090.4995358253
"O95563"	14279	68546.2420245002
"O95571"	27873	36229.0245999082
"O95573"	80420	88634.5960304712
"O95630"	48077	32530.5706117371
"O95674"	51418	49201.6475707937
"O95721"	28970	51928.9706406206
"O95747"	58022	51956.6689650908
"O95749"	34871	36875.5679429531
"O95757"	94512	104929.554875254
"O95758"	59690	42646.8337678093
"O95777"	10403	114876.896815638
"O95782"	107546	226382.31227618
"O95793"	63182	45712.0193084643
"O95816"	23772	86731.9329863996
"O95817"	61595	41084.2781167382
"O95831"	66901	165776.56643807
"O95834"	70679	33402.7916211367
"O95861"	33392	93173.514953008
"O95864"	52259	55374.2111658365
"O95881"	19206	199029.473903478
"O95905"	72758	19160.8654375668
"O95983"	32844	60206.6720993726
"O95989"	19471	38274.5907879074
"O96000"	20777	112421.052081273
"O96005"	76097	34229.2514136154
"O96007"	20944	43432.7955446688
"O96008"	37893	115972.523993571
"O96011"	28431	28701.2634280175
"O96013"	64072	71211.4171576889
"O96017"	60915	32086.3010988525
"O96019"	47461	72125.3829166699
"O96033"	9755	31935.4715663055
"P00167"	15330	102322.34320091
"P00338"	36689	681440.136794769
"P00367"	61398	200397.779371318
"P00374"	21453	98474.6355681934
"P00387"	34235	237086.48900715
"P00390"	56257	118610.22137001
"P00403"	25565	289214.247576489
"P00441"	15936	183657.344338513
"P00491"	32118	178377.587962102
"P00492"	24579	268708.035314003
"P00505"	47518	374988.287336629
"P00558"	44615	439178.235855321
"P00568"	21635	87924.7215241919
"P00918"	29246	115271.440708746
"P00966"	46530	92182.4107392034
"P01023"	163291	33307.907668109
"P01034"	15799	33714.6957004689
"P01591"	18099	55167.2549002678
"P01833"	83284	76732.8208621799
"P01876"	37655	65774.802488117
"P02545"	74139	127748.644184308
"P02751"	262625	57794.6948862713
"P02765"	39325	50217.4053506758
"P02768"	69367	668147.138631328
"P02786"	84871	85676.6625148062
"P02788"	78182	37862.4906713613
"P03905"	51581	27915.8800339746
"P03915"	67027	40320.2934870378
"P04040"	59756	79301.5754590401
"P04062"	59716	22631.1217416164
"P04075"	39420	796520.550348254
"P04080"	11140	141503.203110739
"P04083"	38714	55078.2203379696
"P04179"	24722	119047.989620675
"P04181"	48535	356649.528355654
"P04183"	25469	55630.6844357384
"P04264"	66039	162730.389508615
"P04350"	49586	250209.5439563
"P04406"	36053	1670105.58096551
"P04439"	40841	73719.9818443538
"P04632"	28316	126288.780960137
"P04637"	43653	14011.0295616117
"P04792"	22783	40621.8553168391
"P04818"	35716	104416.617181922
"P04843"	68569	231308.378493895
"P04844"	69284	142823.180398772
"P04899"	40451	23220.9519580012
"P05023"	112896	202876.350693422
"P05026"	35061	92632.0914794235
"P05067"	86943	36256.5267430795
"P05091"	56381	153648.62956926
"P05141"	32852	436892.431292372
"P05165"	80059	22333.1775899368
"P05166"	58216	41245.0041895782
"P05198"	36112	162911.968949623
"P05386"	11514	209069.838936581
"P05387"	11665	388241.05348255
"P05388"	34274	96110.3288316398
"P05423"	44396	31878.0396509885
"P05455"	46837	265717.665162807
"P05556"	88415	124431.637707152
"P05783"	48058	117779.62789707
"P05787"	53704	183789.013510359
"P06132"	40787	74527.5776159587
"P06280"	48767	123453.183787439
"P06396"	85698	22877.2935157679
"P06454"	12203	330843.442253334
"P06493"	34095	185499.016903334
"P06576"	56560	664059.685849872
"P06730"	25097	132597.195761677
"P06733"	47169	1226671.22811445
"P06737"	97149	68932.7395470111
"P06744"	63147	582728.811915255
"P06748"	32575	480120.028945323
"P06753"	32950	303820.235019541
"P06865"	60703	84343.3290837592
"P07099"	52949	127727.423921051
"P07108"	10044	67495.6262679591
"P07195"	36638	1060230.42789386
"P07237"	57116	363406.537876718
"P07339"	44552	149246.405417407
"P07355"	38604	186185.661227533
"P07384"	81890	70581.0951649085
"P07437"	49671	938758.630579132
"P07602"	58113	181094.847246105
"P07686"	63111	116170.522996695
"P07737"	15054	706847.547766478
"P07741"	19608	329007.348435552
"P07814"	170591	169862.815097387
"P07858"	37822	115058.509945558
"P07900"	84660	887830.119753921
"P07919"	10739	101082.730837131
"P07942"	198038	90563.9308829883
"P07954"	54637	104734.002189329
"P08107"	70052	1370282.39079333
"P08133"	75873	186403.198767675
"P08195"	67994	114920.64785396
"P08237"	85183	87199.4346125459
"P08238"	83264	767169.366489943
"P08240"	69811	74626.2898581259
"P08243"	64370	184098.713229329
"P08397"	39330	60796.0857659653
"P08559"	43296	135008.795606437
"P08574"	35422	176350.407414961
"P08579"	25486	79978.3328964716
"P08581"	155541	23629.259962931
"P08621"	51557	103068.437584747
"P08670"	53652	86297.2547332609
"P08727"	44106	109754.243676658
"P08754"	40532	51536.3553496934
"P08758"	35937	312749.796378761
"P08865"	32854	468768.622942564
"P08962"	25637	63532.7448879627
"P09012"	31280	82474.0217686034
"P09104"	47269	80116.8359921591
"P09110"	44292	68711.6756842021
"P09132"	16156	62723.4432001348
"P09211"	23356	165760.638870704
"P09234"	17394	43238.9587638863
"P09429"	24894	376168.838759699
"P09455"	15850	41797.1943674632
"P09493"	32709	58046.8636615655
"P09496"	27077	159104.174672531
"P09497"	25190	70656.8266463309
"P09525"	35883	60296.9150895658
"P09543"	47579	122812.458526954
"P09622"	54177	202134.558199203
"P09651"	38747	127187.24631179
"P09661"	28416	125957.893902337
"P09669"	8781	201992.328698747
"P09874"	113084	317079.519452311
"P09884"	165913	47528.778082682
"P09936"	24824	474464.211455349
"P09960"	69285	184504.681878945
"P09972"	39456	305544.291620647
"P0CG12"	51391	31714.6658501949
"P10109"	19393	48412.6184662068
"P10155"	60671	85339.2110309862
"P10253"	105324	46315.725011817
"P10398"	67585	39309.9702494379
"P10515"	68997	119291.842552539
"P10586"	212879	47081.9465772681
"P10599"	11737	351763.69529697
"P10606"	13696	231747.018643378
"P10619"	54466	29872.264941137
"P10620"	17599	59151.1618733228
"P10644"	42982	70388.5174288525
"P10768"	31463	222699.438500998
"P10809"	61055	842666.854200245
"P11021"	72333	421506.601125772
"P11047"	177603	64943.2929386879
"P11142"	70898	1052205.99193159
"P11166"	54084	71566.8152364884
"P11171"	97017	71035.6215912194
"P11172"	52222	74649.9730849701
"P11177"	39233	137770.953554718
"P11182"	53487	37091.4184252463
"P11216"	96696	51187.6971945791
"P11233"	23567	49544.0086725621
"P11234"	23409	29714.4534123785
"P11279"	44882	155799.620497779
"P11310"	46588	191164.120943873
"P11387"	90726	56617.8840116844
"P11413"	59257	99097.9713645016
"P11441"	17777	87822.271430045
"P11498"	129634	52229.8324807893
"P11586"	101559	291489.947637257
"P11717"	274375	50885.8232264504
"P11766"	39724	103802.805295393
"P11802"	33730	93412.5124745933
"P11908"	34769	65241.4294310808
"P11940"	70671	132916.587673193
"P12004"	28769	424402.070462882
"P12081"	57411	150481.012985256
"P12235"	33064	90193.8553759052
"P12236"	32866	236604.550378209
"P12268"	55805	207426.221251413
"P12270"	267293	101450.594686273
"P12277"	42644	1336936.38727605
"P12429"	36375	30872.6734722962
"P12532"	47037	159432.094070601
"P12694"	50471	48028.5753097165
"P12814"	103058	111785.209657926
"P12931"	59835	30229.5069086358
"P12955"	54548	107113.559112963
"P12956"	69843	298534.181407529
"P13010"	82705	321782.484963524
"P13073"	19577	315034.466040088
"P13473"	44961	188346.015795582
"P13489"	49973	144061.860670511
"P13591"	94574	43145.4020663421
"P13639"	95338	688053.02050213
"P13645"	58827	130128.125733235
"P13647"	62378	29777.0057031506
"P13667"	72932	264890.025031869
"P13674"	61049	70189.5079326108
"P13693"	19595	173574.298103565
"P13796"	70288	110421.094491031
"P13797"	70811	208148.842930591
"P13798"	81225	85969.3832968861
"P13804"	35080	197295.242400212
"P13861"	45518	60204.6881342521
"P13984"	28380	128753.718946249
"P13995"	37895	97924.9820073481
"P14174"	12476	1448574.20555772
"P14314"	59425	248081.136025107
"P14324"	48275	160993.069267992
"P14406"	9396	154878.927351498
"P14550"	36573	124986.662861217
"P14618"	57937	1208002.24023193
"P14625"	92469	737108.159911332
"P14635"	48337	36595.1770844355
"P14735"	117968	105070.093628038
"P14854"	10192	40105.2867606262
"P14866"	64133	89926.9711181944
"P14868"	57136	199818.244569638
"P14923"	81745	32695.0501306548
"P14927"	13530	141407.789828212
"P15104"	42064	82214.7089904942
"P15121"	35853	145109.570234696
"P15151"	45303	37017.2511171202
"P15170"	55756	107156.700506343
"P15311"	69413	181739.213409343
"P15374"	26183	76980.4216171375
"P15531"	17149	476433.099615466
"P15586"	62082	81935.1755908439
"P15880"	31324	304239.1392521
"P15924"	331774	50526.5327624473
"P15927"	29247	111995.937772813
"P16152"	30375	200760.189221554
"P16278"	76075	81559.7248369624
"P16422"	34932	49348.2591335575
"P16435"	76690	94715.7890430744
"P16455"	21646	37205.5611598545
"P16615"	114757	193598.431610001
"P16930"	46374	50732.6730939643
"P16949"	17303	447478.666582073
"P16989"	40090	117448.565621302
"P17050"	46565	47579.2507501511
"P17096"	11676	61950.6843000102
"P17152"	21541	70488.2490666034
"P17174"	46248	123243.73699517
"P17301"	129295	29441.1028915152
"P17612"	40590	42594.118724865
"P17655"	79995	97965.5976868875
"P17812"	66690	185557.827005315
"P17844"	69148	120649.721190359
"P17858"	85018	66308.6921499992
"P17931"	26152	170688.187956478
"P17980"	49204	174548.935477802
"P17987"	60344	313611.143033437
"P18031"	49967	78953.7256305674
"P18085"	20511	120680.836483136
"P18124"	29226	228713.172087673
"P18206"	123799	157460.756825487
"P18615"	43240	45486.4305459143
"P18621"	21397	230969.679087106
"P18669"	28804	454087.873365146
"P18754"	44969	119572.772023953
"P18858"	101736	54515.2936217758
"P18859"	12588	193626.303151716
"P18887"	69477	45182.6059376871
"P19022"	99809	33381.0655441365
"P19174"	148532	52982.4788497186
"P19338"	76614	396477.3959786
"P19367"	102486	158331.300408764
"P19387"	31441	45850.43953588
"P19388"	24551	77539.8860647548
"P19404"	27392	108891.394097352
"P19525"	62094	34331.7937250643
"P19623"	33825	221801.699874298
"P19784"	41213	57680.2187924129
"P20020"	138755	64663.5770916378
"P20042"	38388	93437.9264110699
"P20073"	52739	131229.437410721
"P20290"	22168	127153.086349334
"P20338"	24390	66340.1939529218
"P20339"	23659	75086.9709490349
"P20340"	23593	92280.3991160773
"P20618"	26489	246315.334839186
"P20645"	30993	110752.817551922
"P20674"	16762	350755.304203962
"P20700"	66408	67905.2978490338
"P20810"	76573	75858.5773222101
"P20839"	55406	82340.9016344223
"P20933"	37208	27620.5347813912
"P21266"	26560	59038.0695784206
"P21281"	56501	76766.152862165
"P21283"	43942	52389.6150778747
"P21333"	280739	186734.38044068
"P21399"	98399	53703.5740747271
"P21796"	30773	303637.229420056
"P21912"	31630	148913.922499895
"P21926"	25416	66836.7573034342
"P21953"	43122	34760.7008685123
"P21964"	30037	96992.5231786781
"P22033"	83134	75646.8293658642
"P22059"	89421	49020.6054168501
"P22061"	24636	203559.061500048
"P22087"	33784	58083.0918391857
"P22102"	107767	220610.695466666
"P22234"	47079	266761.722631035
"P22307"	58994	136689.624203989
"P22314"	117849	374504.640063079
"P22570"	53837	69731.8692359552
"P22626"	37430	157553.088700253
"P22695"	48443	145521.896729551
"P22830"	47862	53020.564633231
"P23193"	33970	111330.508187871
"P23229"	126606	44793.2218413729
"P23246"	76149	136841.476804385
"P23258"	51170	65215.4842245364
"P23284"	23743	365307.970923357
"P23368"	65444	145141.752606506
"P23378"	112730	49762.8131055904
"P23381"	53165	134664.475438657
"P23396"	26688	356364.016594719
"P23443"	59140	33732.5911536493
"P23526"	47716	398713.807241369
"P23528"	18502	428284.043908817
"P23588"	69151	149458.523964733
"P23634"	137920	41885.0618999853
"P23786"	73777	65850.1289976672
"P23919"	23819	126473.799407973
"P23921"	90070	98494.8991870982
"P24534"	24764	408852.181795071
"P24539"	28909	138775.581304828
"P24666"	18042	140888.576256548
"P24752"	45200	284389.095803601
"P24928"	217176	45496.4086464007
"P24941"	33930	86453.4148788819
"P25098"	79574	61668.777060287
"P25205"	90981	196803.86214869
"P25325"	33178	103591.483095874
"P25398"	14515	256173.022535285
"P25440"	88061	39961.4351573333
"P25490"	44713	32285.7709427643
"P25685"	38044	105687.580729711
"P25705"	59751	741146.418643089
"P25786"	29556	218012.285248151
"P25787"	25899	181268.674404533
"P25788"	28433	165968.755460373
"P25789"	29484	201535.821443727
"P26038"	67820	159766.255929095
"P26196"	54417	88085.1315021427
"P26232"	105313	52989.9577373032
"P26358"	183165	92328.5406649441
"P26368"	53501	202324.169842536
"P26373"	24261	216506.147889612
"P26440"	46319	98063.1570495584
"P26583"	24034	310838.823305283
"P26599"	57221	254517.01586475
"P26639"	83435	198450.211686497
"P26640"	140476	141550.782415308
"P26641"	50119	484792.611724439
"P26885"	15649	66034.3115046615
"P27144"	25268	103199.831530762
"P27348"	27764	263754.365472932
"P27361"	43136	60986.021925477
"P27448"	84489	15819.4215322311
"P27635"	24604	62288.5309008836
"P27694"	68138	68522.0572394591
"P27695"	35555	235394.915257585
"P27707"	30519	33483.7971756218
"P27708"	242984	164705.410051313
"P27797"	48142	474018.027658198
"P27816"	121005	131162.685527261
"P27824"	67568	465072.324254416
"P28066"	26411	224212.438526225
"P28070"	29204	150651.082979832
"P28072"	25358	191251.913815887
"P28074"	28480	115267.863330656
"P28288"	75476	85466.1409966294
"P28331"	79468	119016.201014941
"P28340"	123631	51607.3806504592
"P28482"	41390	108725.899982075
"P28676"	24010	40482.2180070074
"P28838"	56166	107121.188275803
"P29083"	49452	22963.8839306913
"P29084"	33044	17649.8089443159
"P29144"	138350	87190.8708074186
"P29218"	30189	87152.0440363929
"P29317"	108266	23182.5726437193
"P29373"	15693	66679.6552356955
"P29401"	67878	369542.26774933
"P29692"	31122	226426.880300907
"P29966"	31555	168265.330811374
"P30038"	61719	73632.5425791836
"P30040"	28993	203322.276591418
"P30041"	25035	549514.901993892
"P30042"	28170	186102.209877018
"P30043"	22119	118521.529369163
"P30044"	22086	207185.530298956
"P30046"	12712	187797.063315293
"P30047"	9698	40131.7020702948
"P30048"	27693	724300.376433974
"P30049"	17490	239216.766684829
"P30050"	17819	235914.277275971
"P30084"	31387	261091.611884523
"P30085"	22222	118229.240466882
"P30086"	21057	428095.211350281
"P30101"	56782	531729.790188617
"P30153"	65309	212455.286840582
"P30154"	66214	48101.2520915841
"P30260"	91867	41041.1703756978
"P30405"	22040	141170.677297567
"P30419"	56806	103042.257681405
"P30519"	36033	80506.144022188
"P30520"	50097	151521.155781898
"P30533"	41466	96925.743945774
"P30566"	54889	105851.508693727
"P30622"	162246	35076.5513962377
"P30626"	21676	148696.414883688
"P30740"	42742	93583.2747587198
"P30825"	67638	90696.6177072078
"P30837"	57206	88387.4337869611
"P30876"	133897	49817.0089499266
"P31040"	72692	140613.099211739
"P31146"	51026	14661.4770787251
"P31150"	50583	120678.578222275
"P31153"	43661	178748.949854776
"P31323"	46302	39908.5083182054
"P31350"	44878	72270.5998471567
"P31689"	44868	138010.84417638
"P31930"	52646	163539.192797947
"P31937"	35329	60652.407487839
"P31939"	64616	210308.553000335
"P31942"	36926	33562.6402337381
"P31943"	49229	119388.118780454
"P31946"	28082	336844.736741418
"P31948"	62639	408353.616993345
"P31949"	11740	99435.8147815354
"P32119"	21892	559486.335539637
"P32321"	20016	30931.2702078509
"P32322"	33361	42303.1508418373
"P32969"	21863	127173.730215259
